First Name,Last Name,SID,Email,Role
Becky,Hayes,214359068,becky.hayes43@example.com,Student
Bob,Neal,236722432,bob.neal61@example.com,Student
Byron,Washington,205532315,byron.washington53@example.com,Student
Caleb,Martinez,241084366,caleb.martinez87@example.com,Student
Chad,Carter,217390501,chad.carter67@example.com,Student
Charles,Mendoza,232264195,charles.mendoza97@example.com,Student
Dale,Long,205797037,dale.long68@example.com,Student
Darlene,Pearson,238425545,darlene.pearson61@example.com,Student
Gabriella,Kuhn,232172968,gabriella.kuhn84@example.com,Student
Hilda,Nguyen,204129743,hilda.nguyen83@example.com,Student
Ida,Bowman,238436601,ida.bowman96@example.com,Student
Jean,Pena,241908511,jean.pena36@example.com,Student
Kent,Hansen,208932635,kent.hansen98@example.com,Student
Lloyd,Beck,235790602,lloyd.beck64@example.com,Student
Maureen,Pierce,220876470,maureen.pierce79@example.com,Student
Melanie,Robinson,220141070,melanie.robinson86@example.com,Student
Paul,Gregory,208245419,paul.gregory86@example.com,Student
Rose,Perez,204612291,rose.perez66@example.com,Student
Sherri,Johnson,216573718,sherri.johnson53@example.com,Student
Vanessa,Gonzalez,236117342,vanessa.gonzalez33@example.com,Student
